#,URL,University Name (Tab Title),Status
208,http://www.svbpmeerut.ac.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
209,http://www.svvedicuniversity.ac.in/,Home Page :: Sri Venkateswara Vedic University ::,OK
210,http://www.tanuvas.ac.in/,TANUVAS,OK
211,http://www.telanganauniversity.ac.in/,,TIMEOUT
212,http://www.tmbu.org/,How to Book Bus Tickets in Colombia | .Map,OK
213,http://www.tnau.ac.in/,"Tamil Nadu Agricultural University – The Tamil Nadu Agricultural University (TNAU) had its genesis from establishment of an Agricultural School at Saidapet, Madras, Tamil Nadu, as early as 1868 and it was later relocated at Coimbatore.",OK
214,http://www.tnfu.org.in/university/wp/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
215,http://www.tumkuruniversity.ac.in/,Kannada Home Page - Tumkur University Tumkur,OK
216,http://www.uasbangalore.edu.in/,,TIMEOUT
217,http://www.uasd.edu/,"University of Agricultural Sciences, Dharwad",OK
218,http://www.uau.ac.in/,Home | Uttarakhand Ayurved University,OK
219,http://www.ugb.ac.in/,University Of Gour Banga,OK
220,http://www.ugc.ac.in/,"Welcome to UGC, New Delhi, India",OK
221,http://www.ugcnetonline.in/,University Grants Commission - NET,OK
222,http://www.uktech.ac.in/,,TIMEOUT
223,http://www.unigoa.ac.in/,"Goa University, Goa's premier University, Post Graduation, PH.D, B.SC, M.SC, Research Facilities Study India programme.",OK
224,http://www.unipune.ac.in/,"Savitribai Phule Pune University, One of the Premier Universities in India - Official Website.",OK
225,http://www.unishivaji.ac.in/,"Shivaji University, Kolhapur - One of the oldest and premier Universities in India",OK
226,http://www.unom.ac.in/,Welcome to University of Madras,OK
227,http://www.uoc.ac.in/,University of Calicut,OK
228,http://www.uou.ac.in/,UOU | Uttarakhand Open University,OK
229,http://www.uprtou.ac.in/,UPRTOU,OK
230,http://www.upvetuniv.edu.in/,duvasu mathura – Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan,OK
231,http://www.utkaluniversity.ac.in/,,TIMEOUT
232,http://www.uuc.ac.in/,UTKAL UNIVERSITY OF CULTURE,OK
233,http://www.vbspu.ac.in/index,(no title),NO TITLE
234,http://www.vbu.co.in/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
235,http://www.vetbifg.ac.in/,Assam Veterinary and Fishery University | Official Website,OK
236,http://www.vidyasagar.ac.in/,Vidyasagar University - Excellence through Inclusive Education - Vidyasagar University,OK
237,http://www.vimsar.ac.in/,VIMSAR,OK
238,http://www.vmou.ac.in/,"VMOU | Vardhman Mahaveer Open University, Kota",OK
239,http://www.vnsgu.ac.in/,VNSGU | Home,OK
240,http://www.vskub.ac.in/,Vijayanagara Sri Krishnadevaraya University | Vijayanagara Sri Krishnadevaraya University,OK
241,http://www.vssut.ac.in/,VSSUT::Veer Surendra Sai University of Technology,OK
242,http://www.vtu.ac.in/,403 Forbidden,OK
243,http://www.wbsubregistration.org/,,ERROR: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
244,http://www.yspuniversity.ac.in/,Home | Dr YS Parmar University of Horticulture & Forestry,OK
245,https://abvmuup.edu.in/,Home | Atal Bihari Vajpayee Medical University UP,OK
246,https://ahuuk.ac.in/,Dr.Abdul Haq Urdu University,OK
247,https://aktu.ac.in/,,TIMEOUT
248,https://amruhp.ac.in/,"Atal Medical and Research University, Himachal Pradesh",OK
249,https://amtedivyanguniversity.ac.in/,"Welcome to The Baba Amte Divyang University, Jaipur",OK
250,https://angrau.ac.in/,ANGRAU,OK
251,https://apfu.ap.gov.in/,ANDHRA PRADESH FISHERIES UNIVERSITY,OK
252,https://asu.ac.in/,Assam Skill University,OK
253,https://aukota.org/,,TIMEOUT
254,https://awu.ac.in/,Assam Women's University,OK
255,https://bankurauniv.ac.in/,"BankuraUniversity | BKU | Welcome to Bankura University,Bankura University In MSC, MA",OK
256,https://base.ac.in/,"Dr. B. R. Ambedkar School of Economics University, Bengaluru – A Unitary University, Government of Karnataka",OK
257,https://bbmku.ac.in/,Binod Bihari Mahto Koyalanchal University,OK
