URL,University Name (Tab Title)
http://www.unishivaji.ac.in/,"Shivaji University, Kolhapur - One of the oldest and premier Universities in India"
http://www.unom.ac.in/,Welcome to University of Madras
http://www.uoc.ac.in/,University of Calicut
http://www.uou.ac.in/,UOU | Uttarakhand Open University
http://www.uprtou.ac.in/,UPRTOU
http://www.upvetuniv.edu.in/,duvasu mathura – Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan
http://www.uuc.ac.in/,UTKAL UNIVERSITY OF CULTURE
http://www.vetbifg.ac.in/,Assam Veterinary and Fishery University | Official Website
http://www.vidyasagar.ac.in/,Vidyasagar University - Excellence through Inclusive Education - Vidyasagar University
http://www.vimsar.ac.in/,VIMSAR
http://www.vmou.ac.in/,"VMOU | Vardhman Mahaveer Open University, Kota"
http://www.vnsgu.ac.in/,VNSGU | Home
http://www.vskub.ac.in/,Vijayanagara Sri Krishnadevaraya University | Vijayanagara Sri Krishnadevaraya University
http://www.vssut.ac.in/,VSSUT::Veer Surendra Sai University of Technology
http://www.vtu.ac.in/,403 Forbidden
http://www.yspuniversity.ac.in/,Home | Dr YS Parmar University of Horticulture & Forestry
https://abvmuup.edu.in/,Home | Atal Bihari Vajpayee Medical University UP
https://ahuuk.ac.in/,Dr.Abdul Haq Urdu University
https://amruhp.ac.in/,"Atal Medical and Research University, Himachal Pradesh"
https://amtedivyanguniversity.ac.in/,"Welcome to The Baba Amte Divyang University, Jaipur"
https://angrau.ac.in/,ANGRAU
https://apfu.ap.gov.in/,ANDHRA PRADESH FISHERIES UNIVERSITY
https://asu.ac.in/,Assam Skill University
https://awu.ac.in/,Assam Women's University
https://bankurauniv.ac.in/,"BankuraUniversity | BKU | Welcome to Bankura University,Bankura University In MSC, MA"
https://base.ac.in/,"Dr. B. R. Ambedkar School of Economics University, Bengaluru – A Unitary University, Government of Karnataka"
https://bbmku.ac.in/,Binod Bihari Mahto Koyalanchal University
https://bcu.ac.in/,Dr Manmohan Singh Bengaluru City University Bengaluru | Bengaluru City University Bengaluru
https://bgsbu.ac.in/,"Baba Ghulam Shah Badshah University, Rajouri, (J&K)"
https://biharsports.org/,Bihar State Sports Authority (BSSA) | Sports Development and Training in Bihar
https://bmtu.ac.in/,BMTU
https://brauss.in/,Privacy error
https://btu.ac.in/,Bikaner Technical University
